character,expression,normalized_expression,type,count,contexts,timestamps,confidence,source_bv
千早爱音,咳,咳,word,6,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:21.000"", ""00:04:21.000""]",medium,BV1uknVz9EeN
千早爱音,咳咳,咳咳,phrase_2char,4,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,么的,么的,phrase_2char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,什么,什么,phrase_2char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,千早,千早,phrase_2char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,我是,我是,phrase_2char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,早爱,早爱,phrase_2char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,是千,是千,phrase_2char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,爱音,爱音,phrase_2char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,王什,王什,phrase_2char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,魔王,魔王,phrase_2char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,什么的,什么的,phrase_3char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,千早爱,千早爱,phrase_3char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,咳咳咳,咳咳咳,phrase_3char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,我是千,我是千,phrase_3char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,早爱音,早爱音,phrase_3char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,是千早,是千早,phrase_3char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,王什么,王什么,phrase_3char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,魔王什,魔王什,phrase_3char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,千早爱音,千早爱音,phrase_4char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,我是千早,我是千早,phrase_4char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,是千早爱,是千早爱,phrase_4char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,王什么的,王什么的,phrase_4char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,魔王什么,魔王什么,phrase_4char,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,么,么,word,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,什,什,word,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,千,千,word,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,我,我,word,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,早,早,word,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,是,是,word,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,桀,桀,word,2,"[""咳咳咳，我是千早爱音，魔王什么的不在话下！桀桀！""]","[""00:04:22.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,爱,爱,word,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,王,王,word,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,的,的,word,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,音,音,word,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,魔,魔,word,2,"[""咳咳咳，我是千早爱音，魔王什么的""]","[""00:04:21.000"", ""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,不在,不在,phrase_2char,1,"[""咳咳咳，我是千早爱音，魔王什么的不在话下！桀桀！""]","[""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,在话,在话,phrase_2char,1,"[""咳咳咳，我是千早爱音，魔王什么的不在话下！桀桀！""]","[""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,桀桀,桀桀,phrase_2char,1,"[""咳咳咳，我是千早爱音，魔王什么的不在话下！桀桀！""]","[""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,的不,的不,phrase_2char,1,"[""咳咳咳，我是千早爱音，魔王什么的不在话下！桀桀！""]","[""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,话下,话下,phrase_2char,1,"[""咳咳咳，我是千早爱音，魔王什么的不在话下！桀桀！""]","[""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,不在话,不在话,phrase_3char,1,"[""咳咳咳，我是千早爱音，魔王什么的不在话下！桀桀！""]","[""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,么的不,么的不,phrase_3char,1,"[""咳咳咳，我是千早爱音，魔王什么的不在话下！桀桀！""]","[""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,在话下,在话下,phrase_3char,1,"[""咳咳咳，我是千早爱音，魔王什么的不在话下！桀桀！""]","[""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,的不在,的不在,phrase_3char,1,"[""咳咳咳，我是千早爱音，魔王什么的不在话下！桀桀！""]","[""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,不在话下,不在话下,phrase_4char,1,"[""咳咳咳，我是千早爱音，魔王什么的不在话下！桀桀！""]","[""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,么的不在,么的不在,phrase_4char,1,"[""咳咳咳，我是千早爱音，魔王什么的不在话下！桀桀！""]","[""00:04:22.000""]",medium,BV1uknVz9EeN
千早爱音,什么的不,什么的不,phrase_4char,1,"[""咳咳咳，我是千早爱音，魔王什么的不在话下！桀桀！""]","[""00:04:22.000""]",medium,BV1uknVz9EeN
