character,expression,normalized_expression,type,count,contexts,timestamps,confidence,source_bv
UNKNOWN,的,的,word,196,"[""在一个平凡的不能再平凡的一个早晨，一切都如同往常一般，但有个东西却不像往常了"", ""结果就是爱音看了大量的搞笑视频，甚至不知不觉就睡"", ""结果就是爱音看了大量的搞笑视频，甚至不知不觉就睡着了""]","[""00:00:32.000"", ""00:00:32.000"", ""00:00:34.000"", ""00:00:34.000"", ""00:00:35.000""]",low,BV1C7YjzDEvr
UNKNOWN,爱,爱,word,137,"[""千早爱音"", ""并不是说爱音自己开"", ""结果就是爱音看了大""]","[""00:00:40.000"", ""00:00:41.000"", ""00:00:42.000"", ""00:00:43.000"", ""00:00:45.000""]",low,BV1C7YjzDEvr
UNKNOWN,音,音,word,127,"[""千早爱音"", ""并不是说爱音自己开"", ""结果就是爱音看了大""]","[""00:00:40.000"", ""00:00:41.000"", ""00:00:42.000"", ""00:00:43.000"", ""00:00:45.000""]",low,BV1C7YjzDEvr
UNKNOWN,爱音,爱音,phrase_2char,126,"[""千早爱音"", ""并不是说爱音自己开"", ""结果就是爱音看了大""]","[""00:00:40.000"", ""00:00:41.000"", ""00:00:42.000"", ""00:00:43.000"", ""00:00:45.000""]",low,BV1C7YjzDEvr
UNKNOWN,是,是,word,100,"[""并不是说爱音自己开"", ""结果就是爱音看了大"", ""结果就是爱音看了大量的搞笑视频，甚至不知不觉就睡""]","[""00:00:45.000"", ""00:01:03.000"", ""00:01:05.000"", ""00:01:10.000"", ""00:01:12.000""]",low,BV1C7YjzDEvr
UNKNOWN,一,一,word,77,"[""在一个平凡的不能再平凡的一个早晨，一切都如同往常一般，但有个东西却不像往常了"", ""搞得爱音下意识从包里拿出一"", ""搞得爱音下意识从包里拿出一面小镜子对着自己的脸仔细检查，生怕真的有什么号""]","[""00:00:32.000"", ""00:00:32.000"", ""00:00:32.000"", ""00:00:32.000"", ""00:00:34.000""]",low,BV1C7YjzDEvr
UNKNOWN,到,到,word,77,"[""走在上学路上，爱音注意到四周的女学生好像都在有意无意的往自己这里看不管是羽"", ""看到跟自"", ""看到跟自己打招呼的爱音""]","[""00:02:15.000"", ""00:04:49.000"", ""00:04:50.000"", ""00:04:51.000"", ""00:04:53.000""]",low,BV1C7YjzDEvr
UNKNOWN,了,了,word,66,"[""在一个平凡的不能再平凡的一个早晨，一切都如同往常一般，但有个东西却不像往常了"", ""结果就是爱音看了大"", ""结果就是爱音看了大量的搞笑视频，甚至不知不觉就睡""]","[""00:00:32.000"", ""00:00:34.000"", ""00:00:35.000"", ""00:01:03.000"", ""00:01:05.000""]",low,BV1C7YjzDEvr
UNKNOWN,不,不,word,64,"[""在一个平凡的不能再平凡的一个早晨，一切都如同往常一般，但有个东西却不像往常了"", ""并不"", ""并不是说爱音自己开""]","[""00:00:32.000"", ""00:00:32.000"", ""00:00:34.000"", ""00:00:34.000"", ""00:00:35.000""]",low,BV1C7YjzDEvr
UNKNOWN,然,然,word,63,"[""既然灯"", ""既然灯想要举办live就一定是有理由的，爱音自然不想打破灯的期待"", ""既然灯想要举办live就一定是有理由的，爱音自然不想打破灯的期待，所以还是答应下""]","[""00:06:15.000"", ""00:06:18.000"", ""00:06:19.000"", ""00:06:19.000"", ""00:06:20.000""]",low,BV1C7YjzDEvr
UNKNOWN,有,有,word,60,"[""在一个平凡的不能再平凡的一个早晨，一切都如同往常一般，但有个东西却不像往常了"", ""走在上学路上，爱音注意到四周的女学生好像都在有意无意的往自己这里看不管是羽"", ""搞得爱音下意识从包里拿出一面小镜子对着自己的脸仔细检查，生怕真的有什么号""]","[""00:00:32.000"", ""00:00:34.000"", ""00:00:35.000"", ""00:02:15.000"", ""00:02:30.000""]",low,BV1C7YjzDEvr
UNKNOWN,在,在,word,56,"[""在一个平凡的不能再平凡的一个早晨，一切都如同往常一般，但有个东西却不像往常了"", ""爱音站在镜子面"", ""爱音站在镜子面前看着只能用手""]","[""00:00:32.000"", ""00:00:34.000"", ""00:00:35.000"", ""00:01:27.000"", ""00:01:28.000""]",low,BV1C7YjzDEvr
UNKNOWN,此,此,word,52,"[""此作品"", ""爱音用自己的食指顺着自己的脸颊轻抚了过去，而此时不远处的小团体里面爆发出一阵"", ""但是此刻的爱""]","[""00:00:09.000"", ""00:02:43.000"", ""00:03:23.000"", ""00:03:27.000"", ""00:08:43.000""]",low,BV1C7YjzDEvr
UNKNOWN,看,看,word,50,"[""结果就是爱音看了大"", ""结果就是爱音看了大量的搞笑视频，甚至不知不觉就睡"", ""结果就是爱音看了大量的搞笑视频，甚至不知不觉就睡着了""]","[""00:01:03.000"", ""00:01:05.000"", ""00:01:10.000"", ""00:01:28.000"", ""00:01:29.000""]",low,BV1C7YjzDEvr
UNKNOWN,这,这,word,45,"[""爱音失落的从镜子边离开。如果今天是休息日，这对爱音来说是没什么，简单待在家里不出去就可以了，但是今天是上学"", ""走在上学路上，爱音注意到四周的女学生好像都在有意无意的往自己这里看不管是羽"", ""爱音还以为电车里面有虫子搞得那几个女生吓成这样子，也就没有在意其实都是""]","[""00:01:55.000"", ""00:02:15.000"", ""00:02:54.000"", ""00:02:56.000"", ""00:02:58.000""]",low,BV1C7YjzDEvr
UNKNOWN,么,么,word,42,"[""爱音失落的从镜子边离开。如果今天是休息日，这对爱音来说是没什么，简单待在家里不出去就可以了，但是今天是上学"", ""搞得爱音下意识从包里拿出一面小镜子对着自己的脸仔细检查，生怕真的有什么号"", ""不知道为什么一路上的""]","[""00:01:55.000"", ""00:02:30.000"", ""00:03:36.000"", ""00:03:37.000"", ""00:03:39.000""]",low,BV1C7YjzDEvr
UNKNOWN,没,没,word,40,"[""爱音失落的从镜子边离开。如果今天是休息日，这对爱音来说是没什么，简单待在家里不出去就可以了，但是今天是上学"", ""没有呢"", ""爱音还以为电车里面有虫子搞得那几个女生吓成这样子，也就没有在意其实都是""]","[""00:01:55.000"", ""00:02:40.000"", ""00:02:54.000"", ""00:02:56.000"", ""00:02:58.000""]",low,BV1C7YjzDEvr
UNKNOWN,脸,脸,word,40,"[""结果就是早上起床的时候脸僵掉了，"", ""结果就是早上起床的时候脸僵掉了，，至少目前爱音是笑不出来了"", ""搞得爱音下意识从包里拿出一面小镜子对着自己的脸仔细检查，生怕真的有什么号""]","[""00:01:13.000"", ""00:01:14.000"", ""00:01:15.000"", ""00:02:30.000"", ""00:02:43.000""]",low,BV1C7YjzDEvr
UNKNOWN,自,自,word,40,"[""并不是说爱音自己开"", ""爱音站在镜子面前看着只能用手强撑出来笑容的自己，爱音叹了"", ""爱音站在镜子面前看着只能用手强撑出来笑容的自己，爱音叹了口气，微微张开的""]","[""00:00:45.000"", ""00:01:30.000"", ""00:01:31.000"", ""00:02:15.000"", ""00:02:30.000""]",low,BV1C7YjzDEvr
UNKNOWN,面,面,word,40,"[""爱音站在镜子面"", ""爱音站在镜子面前看着只能用手"", ""爱音站在镜子面前看着只能用手强撑出来笑容的""]","[""00:01:27.000"", ""00:01:28.000"", ""00:01:29.000"", ""00:01:30.000"", ""00:01:31.000""]",low,BV1C7YjzDEvr
UNKNOWN,素,素,word,37,"[""当然，最后到排练室的是我们人见人爱的月之森大小姐一一长崎素世。"", ""其实早在放学看群聊里面突然开live组织排练以及爱音今天一句话没说开始素世就有一种不祥的预感"", ""只是爱音到达眼神中看不到什么“开心”的情绪毫无情绪波动的表情让素世""]","[""00:09:25.000"", ""00:09:29.000"", ""00:09:30.000"", ""00:09:32.000"", ""00:09:34.000""]",low,BV1C7YjzDEvr
UNKNOWN,时,时,word,36,"[""结果就是早上起床的时候脸僵掉了，"", ""结果就是早上起床的时候脸僵掉了，，至少目前爱音是笑不出来了"", ""爱音用自己的食指顺着自己的脸颊轻抚了过去，而此时不远处的小团体里面爆发出一阵""]","[""00:01:13.000"", ""00:01:14.000"", ""00:01:15.000"", ""00:02:43.000"", ""00:03:17.000""]",low,BV1C7YjzDEvr
UNKNOWN,来,来,word,36,"[""结果就是早上起床的时候脸僵掉了，，至少目前爱音是笑不出来了"", ""爱音站在镜子面前看着只能用手强撑出来笑容的"", ""爱音站在镜子面前看着只能用手强撑出来笑容的自己，爱音叹了""]","[""00:01:15.000"", ""00:01:29.000"", ""00:01:30.000"", ""00:01:31.000"", ""00:01:55.000""]",low,BV1C7YjzDEvr
UNKNOWN,素世,素世,phrase_2char,33,"[""当然，最后到排练室的是我们人见人爱的月之森大小姐一一长崎素世。"", ""其实早在放学看群聊里面突然开live组织排练以及爱音今天一句话没说开始素世就有一种不祥的预感"", ""只是爱音到达眼神中看不到什么“开心”的情绪毫无情绪波动的表情让素世""]","[""00:09:25.000"", ""00:09:29.000"", ""00:09:30.000"", ""00:09:32.000"", ""00:09:34.000""]",low,BV1C7YjzDEvr
UNKNOWN,世,世,word,33,"[""当然，最后到排练室的是我们人见人爱的月之森大小姐一一长崎素世。"", ""其实早在放学看群聊里面突然开live组织排练以及爱音今天一句话没说开始素世就有一种不祥的预感"", ""只是爱音到达眼神中看不到什么“开心”的情绪毫无情绪波动的表情让素世""]","[""00:09:25.000"", ""00:09:29.000"", ""00:09:30.000"", ""00:09:32.000"", ""00:09:34.000""]",low,BV1C7YjzDEvr
UNKNOWN,就,就,word,33,"[""结果就是爱音看了大"", ""结果就是爱音看了大量的搞笑视频，甚至不知不觉就睡"", ""结果就是爱音看了大量的搞笑视频，甚至不知不觉就睡着了""]","[""00:01:03.000"", ""00:01:05.000"", ""00:01:05.000"", ""00:01:10.000"", ""00:01:10.000""]",low,BV1C7YjzDEvr
UNKNOWN,上,上,word,32,"[""以上。"", ""结果就是早上起床的"", ""结果就是早上起床的时候脸僵掉了，""]","[""00:00:22.000"", ""00:01:12.000"", ""00:01:13.000"", ""00:01:14.000"", ""00:01:15.000""]",low,BV1C7YjzDEvr
UNKNOWN,灯,灯,word,32,"[""即便是面对灯爱音也"", ""高松灯，察"", ""高松灯，察觉到了异常！毕""]","[""00:04:35.000"", ""00:04:40.000"", ""00:05:21.000"", ""00:05:22.000"", ""00:05:23.000""]",low,BV1C7YjzDEvr
