character,expression,normalized_expression,type,count,contexts,timestamps,confidence,source_bv
UNKNOWN,的,的,word,110,"[""千早爱音的葬礼在一个阳光很好的周二早上举行"", ""消息是周一晚上传开的，某个同学在班级群里发了一条"", ""消息是周一晚上传开的，某个同学在班级群里发了一条“爱音出事了”，后面跟了一串哭泣的表情包。""]","[""00:00:15.000"", ""00:00:15.000"", ""00:00:19.000"", ""00:00:20.000"", ""00:00:20.000""]",low,BV1SZJP6mEjy
UNKNOWN,爱,爱,word,89,"[""千早爱音的葬礼在一个阳光很好的周二早上举行"", ""消息是周一晚上传开的，某个同学在班级群里发了一条“爱音出事了”，后面跟了一串哭泣的表情包。"", ""等班主任去问的时候，得到的说法是爱""]","[""00:00:15.000"", ""00:00:20.000"", ""00:00:23.000"", ""00:00:24.000"", ""00:00:24.000""]",low,BV1SZJP6mEjy
UNKNOWN,爱音,爱音,phrase_2char,88,"[""千早爱音的葬礼在一个阳光很好的周二早上举行"", ""消息是周一晚上传开的，某个同学在班级群里发了一条“爱音出事了”，后面跟了一串哭泣的表情包。"", ""等班主任去问的时候，得到的说法是爱音突然病逝了。因为上周五的爱音就是请了病假才突然""]","[""00:00:15.000"", ""00:00:20.000"", ""00:00:24.000"", ""00:00:24.000"", ""00:00:25.000""]",low,BV1SZJP6mEjy
UNKNOWN,音,音,word,88,"[""千早爱音的葬礼在一个阳光很好的周二早上举行"", ""消息是周一晚上传开的，某个同学在班级群里发了一条“爱音出事了”，后面跟了一串哭泣的表情包。"", ""等班主任去问的时候，得到的说法是爱音突然病逝了。因为上周五的爱音就是请了病假才突然""]","[""00:00:15.000"", ""00:00:20.000"", ""00:00:24.000"", ""00:00:24.000"", ""00:00:25.000""]",low,BV1SZJP6mEjy
UNKNOWN,一,一,word,76,"[""千早爱音的葬礼在一个阳光很好的周二早上举行"", ""消息是周一晚上传开的，某个同学在班级群里发了一条"", ""消息是周一晚上传开的，某个同学在班级群里发了一条“爱音出事了”，后面跟了一串哭泣的表情包。""]","[""00:00:15.000"", ""00:00:19.000"", ""00:00:19.000"", ""00:00:20.000"", ""00:00:20.000""]",low,BV1SZJP6mEjy
UNKNOWN,在,在,word,75,"[""千早爱音的葬礼在一个阳光很好的周二早上举行"", ""消息是周一晚上传开的，某个同学在班级群里发了一条"", ""消息是周一晚上传开的，某个同学在班级群里发了一条“爱音出事了”，后面跟了一串哭泣的表情包。""]","[""00:00:15.000"", ""00:00:19.000"", ""00:00:20.000"", ""00:00:28.000"", ""00:00:29.000""]",low,BV1SZJP6mEjy
UNKNOWN,了,了,word,57,"[""消息是周一晚上传开的，某个同学在班级群里发了一条"", ""消息是周一晚上传开的，某个同学在班级群里发了一条“爱音出事了”，后面跟了一串哭泣的表情包。"", ""等班主任去问的时候，得到的说法是爱音突然病逝了。因为上周五的爱音就是请了病假才突然""]","[""00:00:19.000"", ""00:00:20.000"", ""00:00:20.000"", ""00:00:20.000"", ""00:00:24.000""]",low,BV1SZJP6mEjy
UNKNOWN,不,不,word,56,"[""呼……·呼·……不行我必须再快一点！赶在那之前！"", ""啊！是灯灯！太好了！你能替我给老师请个假吗？就说我身体不舒"", ""祥子一直把爱音当做自己在学校的宿敌，尽管爱音本人并没有意识到这一点。不过不知从什。""]","[""00:00:49.000"", ""00:00:57.000"", ""00:01:26.000"", ""00:01:26.000"", ""00:01:27.000""]",low,BV1SZJP6mEjy
UNKNOWN,是,是,word,48,"[""消息是周一晚上传开的，某个同学在班级群里发了一条"", ""消息是周一晚上传开的，某个同学在班级群里发了一条“爱音出事了”，后面跟了一串哭泣的表情包。"", ""等班主任去问的时候，得到的说法是爱""]","[""00:00:19.000"", ""00:00:20.000"", ""00:00:23.000"", ""00:00:24.000"", ""00:00:24.000""]",low,BV1SZJP6mEjy
UNKNOWN,她,她,word,41,"[""校门口的追倬会是校学生会自发紧急组织的灯作为爱音的朋友被推上来发言，尽管她表现得很紧张，但还"", ""如果爱音考了全校第二名，那么祥子就要考第一名。但不管祥子怎么努力，爱音似乎从采没有把她当成对手"", ""如果爱音考了全校第二名，那么祥子就要考第一名。但不管祥子怎么努力，爱音似乎从来没有把她当成对手，每次碰面都是笑嘻嘻的，甚至会夸她钢琴弹得好好听。""]","[""00:00:34.000"", ""00:01:33.000"", ""00:01:34.000"", ""00:01:34.000"", ""00:01:45.000""]",low,BV1SZJP6mEjy
