character,expression,normalized_expression,type,count,contexts,timestamps,confidence,source_bv
UNKNOWN,的,的,word,382,"[""直到她坐在椅子上，对着母亲说出了今天的第一句话。"", ""千早爱音愣住了，爱音妈也愣住了，空气近乎凝固成胶状，直到她再次开口试图解释自己的原话并非"", ""千早爱音愣住了，爱音妈也愣住了，空气近乎凝固成胶状，直到她再次开口试图解释自己的原话并非如此。""]","[""00:00:15.000"", ""00:00:16.000"", ""00:00:17.000"", ""00:00:25.000"", ""00:00:27.000""]",low,BV1ht7n6xEb5
UNKNOWN,了,了,word,227,"[""千早爱音被天意做局了。"", ""直到她坐在椅子上，对着母亲说出了今天的第一句话。"", ""千早爱音愣住了，爱音妈也愣""]","[""00:00:04.000"", ""00:00:05.000"", ""00:00:06.000"", ""00:00:15.000"", ""00:00:16.000""]",low,BV1ht7n6xEb5
UNKNOWN,她,她,word,202,"[""直到她坐在椅子上，对着母亲说出"", ""直到她坐在椅子上，对着母亲说出了今天的第一句话。"", ""千早爱音愣住了，爱音妈也愣住了，空气近乎凝固成胶状，直到她再""]","[""00:00:14.000"", ""00:00:15.000"", ""00:00:16.000"", ""00:00:17.000"", ""00:00:24.000""]",low,BV1ht7n6xEb5
UNKNOWN,一,一,word,185,"[""原因如下一一一一周六，自然醒，起床"", ""原因如下一一一一周六，自然醒，起床，吃饭，一切都很正常。"", ""直到她坐在椅子上，对着母亲说出了今天的第一句话。""]","[""00:00:09.000"", ""00:00:09.000"", ""00:00:09.000"", ""00:00:09.000"", ""00:00:10.000""]",low,BV1ht7n6xEb5
UNKNOWN,是,是,word,180,"[""也费劲解释了很长时间，母亲才半信半疑的相信她并不是故意的，但是，这中事还是太离请"", ""也费劲解释了很长时间，母亲才半信半疑的相信她并不是故意的，但是，这中事还是太离谱了，千早爱音觉得，她是得了什么"", ""也费劲解释了很长时间，母亲才半信半疑的相信她并不是故意的，但是，这中事还是太离谱了，千早爱音觉得，她是得了什么离谱的病，胡言乱语就是""]","[""00:00:40.000"", ""00:00:40.000"", ""00:00:40.000"", ""00:00:41.000"", ""00:00:41.000""]",low,BV1ht7n6xEb5
UNKNOWN,音,音,word,177,"[""千早爱音被天意做局了。"", ""千早爱音愣住了，爱音妈也愣"", ""千早爱音愣住了，爱音妈也愣住了，空气近乎凝固成胶状，直到她再""]","[""00:00:04.000"", ""00:00:05.000"", ""00:00:06.000"", ""00:00:23.000"", ""00:00:23.000""]",low,BV1ht7n6xEb5
UNKNOWN,爱,爱,word,174,"[""千早爱音被天意做局了。"", ""千早爱音愣住了，爱音妈也愣"", ""千早爱音愣住了，爱音妈也愣住了，空气近乎凝固成胶状，直到她再""]","[""00:00:04.000"", ""00:00:05.000"", ""00:00:06.000"", ""00:00:23.000"", ""00:00:23.000""]",low,BV1ht7n6xEb5
UNKNOWN,爱音,爱音,phrase_2char,165,"[""千早爱音被天意做局了。"", ""千早爱音愣住了，爱音妈也愣"", ""千早爱音愣住了，爱音妈也愣住了，空气近乎凝固成胶状，直到她再""]","[""00:00:04.000"", ""00:00:05.000"", ""00:00:06.000"", ""00:00:23.000"", ""00:00:23.000""]",low,BV1ht7n6xEb5
UNKNOWN,早,早,word,146,"[""千早爱音被天意做局了。"", ""千早爱音愣住了，爱音妈也愣"", ""千早爱音愣住了，爱音妈也愣住了，空气近乎凝固成胶状，直到她再""]","[""00:00:04.000"", ""00:00:05.000"", ""00:00:06.000"", ""00:00:23.000"", ""00:00:24.000""]",low,BV1ht7n6xEb5
UNKNOWN,千,千,word,144,"[""千早爱音被天意做局了。"", ""千早爱音愣住了，爱音妈也愣"", ""千早爱音愣住了，爱音妈也愣住了，空气近乎凝固成胶状，直到她再""]","[""00:00:04.000"", ""00:00:05.000"", ""00:00:06.000"", ""00:00:23.000"", ""00:00:24.000""]",low,BV1ht7n6xEb5
