character,expression,normalized_expression,type,count,contexts,timestamps,confidence,source_bv
UNKNOWN,我,我,word,249,"[""给我温一……初华""]","[""00:00:53.000"", ""00:00:54.000"", ""00:01:54.000""]",low,BV1uknVz9EeN
UNKNOWN,是,是,word,193,"[""又是一个""]","[""00:00:00.000"", ""00:00:01.000"", ""00:02:01.000""]",low,BV1uknVz9EeN
UNKNOWN,的,的,word,166,"[""又是一个平静的周日清晨重播目动快选快有快速该防产项标题全屏台""]","[""00:00:01.000"", ""00:00:54.000"", ""00:01:45.000""]",low,BV1uknVz9EeN
UNKNOWN,了,了,word,149,"[""今天说好了要和ano酱学习""]","[""00:00:04.000"", ""00:00:39.000"", ""00:00:40.000""]",low,BV1uknVz9EeN
UNKNOWN,不,不,word,147,"[""ano酱，学习了，要不""]","[""00:00:39.000"", ""00:00:40.000"", ""00:00:40.000""]",low,BV1uknVz9EeN
UNKNOWN,啊,啊,word,143,"[""听啊.草莓三明治7""]","[""00:00:20.000"", ""00:00:43.000"", ""00:00:44.000""]",low,BV1uknVz9EeN
UNKNOWN,这,这,word,141,"[""这都不能叫醒ano""]","[""00:01:11.000"", ""00:02:22.000"", ""00:02:23.000""]",low,BV1uknVz9EeN
UNKNOWN,你,你,word,130,"[""ano酱？你……你还没醒吗？""]","[""00:00:11.000"", ""00:00:11.000"", ""00:00:40.000""]",low,BV1uknVz9EeN
UNKNOWN,啊,啊,filler,118,"[""听啊.草莓三明治7""]","[""00:00:20.000"", ""00:00:43.000"", ""00:00:44.000""]",low,BV1uknVz9EeN
UNKNOWN,么,么,word,91,"[""小灯，你冷静一下，小爱音是怎么个起""]","[""00:02:08.000"", ""00:02:46.000"", ""00:02:47.000""]",low,BV1uknVz9EeN
UNKNOWN,酱,酱,word,86,"[""今天说好了要和ano酱学习""]","[""00:00:04.000"", ""00:00:10.000"", ""00:00:11.000""]",low,BV1uknVz9EeN
UNKNOWN,来,来,word,85,"[""给我温一壶初华酱的洗脚水！再来一碟""]","[""00:00:54.000"", ""00:01:14.000"", ""00:01:15.000""]",low,BV1uknVz9EeN
UNKNOWN,爱,爱,word,84,"[""小灯，你冷静一下，小爱音是怎么个起""]","[""00:02:08.000"", ""00:02:54.000"", ""00:02:55.000""]",low,BV1uknVz9EeN
UNKNOWN,梦,梦,word,83,"[""就是虽然会说梦话，有反应，""]","[""00:02:12.000"", ""00:02:13.000"", ""00:05:32.000""]",low,BV1uknVz9EeN
UNKNOWN,一,一,word,82,"[""又是一个""]","[""00:00:00.000"", ""00:00:01.000"", ""00:00:53.000""]",low,BV1uknVz9EeN
UNKNOWN,ano,ano,word,75,"[""今天说好了要和ano酱学习""]","[""00:00:04.000"", ""00:00:10.000"", ""00:00:11.000""]",low,BV1uknVz9EeN
UNKNOWN,！,,sentence_end,70,"[""ano?……你长了！""]","[""00:01:02.000"", ""00:01:04.000"", ""00:03:45.000""]",low,BV1uknVz9EeN
UNKNOWN,音,音,word,67,"[""小灯，你冷静一下，小爱音是怎么个起""]","[""00:02:08.000"", ""00:02:55.000"", ""00:05:09.000""]",low,BV1uknVz9EeN
UNKNOWN,个,个,word,65,"[""又是一个""]","[""00:00:00.000"", ""00:00:01.000"", ""00:02:08.000""]",low,BV1uknVz9EeN
UNKNOWN,爱音,爱音,phrase_2char,62,"[""小灯，你冷静一下，小爱音是怎么个起""]","[""00:02:08.000"", ""00:02:55.000"", ""00:05:09.000""]",low,BV1uknVz9EeN
UNKNOWN,好,好,word,62,"[""今天说好了要和ano酱学习""]","[""00:00:04.000"", ""00:03:03.000"", ""00:03:22.000""]",low,BV1uknVz9EeN
UNKNOWN,要,要,word,62,"[""今天说好了要和ano酱学习""]","[""00:00:04.000"", ""00:00:39.000"", ""00:00:40.000""]",low,BV1uknVz9EeN
UNKNOWN,家,家,word,59,"[""大家.紧急消息""]","[""00:01:38.000"", ""00:01:39.000"", ""00:02:40.000""]",low,BV1uknVz9EeN
UNKNOWN,就,就,word,59,"[""ano酱，学习了，要不然要不然你就不""]","[""00:00:40.000"", ""00:01:49.000"", ""00:01:50.000""]",low,BV1uknVz9EeN
UNKNOWN,子,子,word,57,"[""看样子是时候展""]","[""00:02:16.000"", ""00:02:18.000"", ""00:05:35.000""]",low,BV1uknVz9EeN
UNKNOWN,在,在,word,55,"[""ano酱在睡懒觉……""]","[""00:00:23.000"", ""00:02:36.000"", ""00:03:56.000""]",low,BV1uknVz9EeN
UNKNOWN,有,有,word,54,"[""又是一个平静的周日清晨重播目动快选快有快速该防产项标题全屏台""]","[""00:00:01.000"", ""00:01:58.000"", ""00:02:12.000""]",low,BV1uknVz9EeN
UNKNOWN,小,小,word,52,"[""小灯，你冷静""]","[""00:02:07.000"", ""00:02:08.000"", ""00:02:08.000""]",low,BV1uknVz9EeN
UNKNOWN,没,没,word,49,"[""ano酱？你……你还没醒吗？""]","[""00:00:11.000"", ""00:00:44.000"", ""00:05:46.000""]",low,BV1uknVz9EeN
UNKNOWN,？,,sentence_end,48,"[""ano酱？""]","[""00:00:10.000"", ""00:00:11.000"", ""00:00:18.000""]",low,BV1uknVz9EeN
UNKNOWN,还,还,word,47,"[""ano酱？你……你还没醒吗？""]","[""00:00:11.000"", ""00:04:44.000"", ""00:04:45.000""]",low,BV1uknVz9EeN
UNKNOWN,怎,怎,word,46,"[""小灯，你冷静一下，小爱音是怎么个起""]","[""00:02:08.000"", ""00:02:47.000"", ""00:03:07.000""]",low,BV1uknVz9EeN
UNKNOWN,怎么,怎么,phrase_2char,44,"[""小灯，你冷静一下，小爱音是怎么个起""]","[""00:02:08.000"", ""00:02:47.000"", ""00:03:07.000""]",low,BV1uknVz9EeN
UNKNOWN,……,……,sentence_end,43,"[""ano酱在睡懒觉……""]","[""00:00:23.000"", ""00:00:30.000"", ""00:00:43.000""]",low,BV1uknVz9EeN
UNKNOWN,哈,哈,word,43,"[""哈哈哈，好啦灯，""]","[""00:03:03.000"", ""00:03:03.000"", ""00:03:03.000""]",low,BV1uknVz9EeN
UNKNOWN,到,到,word,42,"[""ano酱你被公派到英国留学了恭喜""]","[""00:01:22.000"", ""00:01:50.000"", ""00:05:01.000""]",low,BV1uknVz9EeN
UNKNOWN,王,王,word,42,"[""我的女儿素有灵，被魔王抓走了！""]","[""00:03:54.000"", ""00:03:55.000"", ""00:04:51.000""]",low,BV1uknVz9EeN
UNKNOWN,下,下,word,41,"[""等一下T""]","[""00:01:57.000"", ""00:01:58.000"", ""00:02:08.000""]",low,BV1uknVz9EeN
