character,expression,normalized_expression,type,count,contexts,timestamps,confidence,source_bv
千早爱音,么哭,么哭,phrase_2char,2,"""[\""soyorin怎么哭\"", \""soyorin怎么哭了啊？\""]""","""[\""00:00:51.000\"", \""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,怎么,怎么,phrase_2char,2,"""[\""soyorin怎么哭\"", \""soyorin怎么哭了啊？\""]""","""[\""00:00:51.000\"", \""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,怎么哭,怎么哭,phrase_3char,2,"""[\""soyorin怎么哭\"", \""soyorin怎么哭了啊？\""]""","""[\""00:00:51.000\"", \""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,soyorin,soyorin,word,2,"""[\""soyorin怎么哭\"", \""soyorin怎么哭了啊？\""]""","""[\""00:00:51.000\"", \""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,么,么,word,2,"""[\""soyorin怎么哭\"", \""soyorin怎么哭了啊？\""]""","""[\""00:00:51.000\"", \""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,哭,哭,word,2,"""[\""soyorin怎么哭\"", \""soyorin怎么哭了啊？\""]""","""[\""00:00:51.000\"", \""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,怎,怎,word,2,"""[\""soyorin怎么哭\"", \""soyorin怎么哭了啊？\""]""","""[\""00:00:51.000\"", \""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,啊,啊,filler,1,"""[\""soyorin怎么哭了啊？\""]""","""[\""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,了啊,了啊,phrase_2char,1,"""[\""soyorin怎么哭了啊？\""]""","""[\""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,哭了,哭了,phrase_2char,1,"""[\""soyorin怎么哭了啊？\""]""","""[\""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,么哭了,么哭了,phrase_3char,1,"""[\""soyorin怎么哭了啊？\""]""","""[\""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,哭了啊,哭了啊,phrase_3char,1,"""[\""soyorin怎么哭了啊？\""]""","""[\""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,么哭了啊,么哭了啊,phrase_4char,1,"""[\""soyorin怎么哭了啊？\""]""","""[\""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,怎么哭了,怎么哭了,phrase_4char,1,"""[\""soyorin怎么哭了啊？\""]""","""[\""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,？,,sentence_end,1,"""[\""soyorin怎么哭了啊？\""]""","""[\""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,了,了,word,1,"""[\""soyorin怎么哭了啊？\""]""","""[\""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,啊,啊,word,1,"""[\""soyorin怎么哭了啊？\""]""","""[\""00:00:52.000\""]""",high,BV1AST4zJEg6
千早爱音,我,我,word,19,"""[\""我是不是不该用这个颜色出场？\"", \""等会这相框上的，是我吗？？\"", \""等会……这相框上的，是我吗？？\""]""","""[\""00:04:19.000\"", \""00:04:23.000\"", \""00:04:24.000\"", \""00:04:36.000\"", \""00:06:01.000\""]""",high,BV1SZJP6mEjy
千早爱音,不,不,word,15,"""[\""对不起对不起！借过一下！\"", \""我是不是不该用这个颜色出场？\"", \""呼………呼……不行我必须再快一点\""]""","""[\""00:01:54.000\"", \""00:01:54.000\"", \""00:04:19.000\"", \""00:04:19.000\"", \""00:06:01.000\""]""",high,BV1SZJP6mEjy
千早爱音,这,这,word,14,"""[\""我是不是不该用这个颜色出场？\"", \""等会这相框上的，是我吗？？\"", \""等会……这相框上的，是我吗？？\""]""","""[\""00:04:19.000\"", \""00:04:23.000\"", \""00:04:24.000\"", \""00:04:46.000\"", \""00:04:46.000\""]""",high,BV1SZJP6mEjy
千早爱音,了,了,word,12,"""[\""等会？？你们难道以为我死了？！\"", \""啊！是灯灯！太好了！你能替我\"", \""啊！是灯灯！太好了！你能替我给老师请个假吗？就说我身体不舒服！\""]""","""[\""00:04:36.000\"", \""00:06:08.000\"", \""00:06:09.000\"", \""00:06:14.000\"", \""00:06:15.000\""]""",high,BV1SZJP6mEjy
千早爱音,是,是,word,11,"""[\""我是不是不该用这个颜色出场？\"", \""等会这相框上的，是我吗？？\"", \""等会……这相框上的，是我吗？？\""]""","""[\""00:04:19.000\"", \""00:04:19.000\"", \""00:04:23.000\"", \""00:04:24.000\"", \""00:05:02.000\""]""",high,BV1SZJP6mEjy
千早爱音,？,,sentence_end,10,"""[\""我是不是不该用这个颜色出场？\"", \""等会这相框上的，是我吗？？\"", \""等会……这相框上的，是我吗？？\""]""","""[\""00:04:19.000\"", \""00:04:23.000\"", \""00:04:24.000\"", \""00:05:02.000\"", \""00:06:35.000\""]""",high,BV1SZJP6mEjy
千早爱音,个,个,word,10,"""[\""我是不是不该用这个颜色出场？\"", \""yC呢这个，这\"", \""听·…这个，这个……··\""]""","""[\""00:04:19.000\"", \""00:04:46.000\"", \""00:04:47.000\"", \""00:04:47.000\"", \""00:06:09.000\""]""",high,BV1SZJP6mEjy
千早爱音,灯,灯,word,10,"""[\""啊！是灯灯！太好了！你能替我\"", \""啊！是灯灯！太好了！你能替我给老师请个假吗？就说我身体不舒服！\"", \""没时间解释了！我必须现在就走！灯灯\""]""","""[\""00:06:08.000\"", \""00:06:08.000\"", \""00:06:09.000\"", \""00:06:09.000\"", \""00:06:14.000\""]""",high,BV1SZJP6mEjy
