character,expression,normalized_expression,type,count,contexts,timestamps,confidence,source_bv
若叶睦,了吗,了吗,phrase_2char,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,你感,你感,phrase_2char,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,冒了,冒了,phrase_2char,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,感冒,感冒,phrase_2char,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,素世,素世,phrase_2char,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,你感冒,你感冒,phrase_3char,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,冒了吗,冒了吗,phrase_3char,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,感冒了,感冒了,phrase_3char,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,你感冒了,你感冒了,phrase_4char,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,感冒了吗,感冒了吗,phrase_4char,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,？,,sentence_end,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,世,世,word,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,了,了,word,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,你,你,word,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,冒,冒,word,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,吗,吗,word,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,感,感,word,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
若叶睦,素,素,word,1,"""[\""素世，你感冒了吗？\""]""","""[\""00:10:00.000\""]""",high,BV1SZJP6mEjy
