character,expression,normalized_expression,type,count,contexts,timestamps,confidence,source_bv
长崎素世,爱,爱,word,26,"""[\""爱音\"", \""但是爱音·……·濒死时的表情\"", \""但是爱音……濒死时的表情好可爱\""]""","""[\""00:00:01.000\"", \""00:00:34.000\"", \""00:00:36.000\"", \""00:00:36.000\"", \""00:01:04.000\""]""",high,BV1AST4zJEg6
长崎素世,我,我,word,23,"""[\""我不是故意的·.·.你看看我啊\"", \""看看我好不好··以后\"", \""看看我好不好·以后你拿什么当安全词都行！\""]""","""[\""00:00:05.000\"", \""00:00:05.000\"", \""00:00:11.000\"", \""00:00:12.000\"", \""00:00:17.000\""]""",high,BV1AST4zJEg6
长崎素世,爱音,爱音,phrase_2char,21,"""[\""爱音\"", \""但是爱音·……·濒死时的表情\"", \""但是爱音……濒死时的表情好可爱\""]""","""[\""00:00:01.000\"", \""00:00:34.000\"", \""00:00:36.000\"", \""00:01:04.000\"", \""00:01:05.000\""]""",high,BV1AST4zJEg6
长崎素世,音,音,word,21,"""[\""爱音\"", \""但是爱音·……·濒死时的表情\"", \""但是爱音……濒死时的表情好可爱\""]""","""[\""00:00:01.000\"", \""00:00:34.000\"", \""00:00:36.000\"", \""00:01:04.000\"", \""00:01:05.000\""]""",high,BV1AST4zJEg6
长崎素世,你,你,word,15,"""[\""我不是故意的·.·.你看看我啊\"", \""看看我好不好·以后你拿什么当安全词都行！\"", \""口我都答应你\""]""","""[\""00:00:05.000\"", \""00:00:12.000\"", \""00:00:17.000\"", \""00:00:19.000\"", \""00:01:04.000\""]""",high,BV1AST4zJEg6
长崎素世,不,不,word,12,"""[\""我不是故意的·.·.你看看我啊\"", \""看看我好不好··以后\"", \""看看我好不好·以后你拿什么当安全词都行！\""]""","""[\""00:00:05.000\"", \""00:00:11.000\"", \""00:00:12.000\"", \""00:03:32.000\"", \""00:03:32.000\""]""",high,BV1AST4zJEg6
长崎素世,哈,哈,word,10,"""[\""哈哈，应该是照顾爱音太累了吧，而且说不定\"", \""哈哈，应该是照顾爱音太累了吧，而且说不定被爱音传染了，我感觉我的喉咙\"", \""哈哈，应该是照顾爱音太累了吧，而且说不定被爱音传染了，我感觉我的喉咙好像也有点酸呢。\""]""","""[\""00:03:44.000\"", \""00:03:44.000\"", \""00:03:45.000\"", \""00:03:45.000\"", \""00:03:46.000\""]""",high,BV1AST4zJEg6
长崎素世,好,好,word,10,"""[\""看看我好不好··以后\"", \""看看我好不好·以后你拿什么当安全词都行！\"", \""但是爱音……濒死时的表情好可爱\""]""","""[\""00:00:11.000\"", \""00:00:11.000\"", \""00:00:12.000\"", \""00:00:12.000\"", \""00:00:36.000\""]""",high,BV1AST4zJEg6
长崎素世,了,了,word,8,"""[\""我都答应你·……我错了\"", \""爱音，你做到了一切\"", \""爱音，你照亮了我的世界\""]""","""[\""00:00:19.000\"", \""00:01:22.000\"", \""00:01:25.000\"", \""00:03:44.000\"", \""00:03:45.000\""]""",high,BV1AST4zJEg6
长崎素世,别,别,word,8,"""[\""[无法识别]\"", \""别害怕\""]""","""[\""00:01:06.000\"", \""00:01:10.000\"", \""00:01:13.000\"", \""00:04:30.000\"", \""00:04:43.000\""]""",high,BV1AST4zJEg6
长崎素世,的,的,word,8,"""[\""我不是故意的·.·.你看看我啊\"", \""但是爱音·……·濒死时的表情\"", \""但是爱音……濒死时的表情好可爱\""]""","""[\""00:00:05.000\"", \""00:00:34.000\"", \""00:00:36.000\"", \""00:01:05.000\"", \""00:01:12.000\""]""",high,BV1AST4zJEg6
长崎素世,无法,无法,phrase_2char,7,"""[\""[无法识别]\""]""","""[\""00:01:06.000\"", \""00:01:10.000\"", \""00:01:13.000\"", \""00:04:30.000\"", \""00:04:43.000\""]""",high,BV1AST4zJEg6
长崎素世,法识,法识,phrase_2char,7,"""[\""[无法识别]\""]""","""[\""00:01:06.000\"", \""00:01:10.000\"", \""00:01:13.000\"", \""00:04:30.000\"", \""00:04:43.000\""]""",high,BV1AST4zJEg6
长崎素世,识别,识别,phrase_2char,7,"""[\""[无法识别]\""]""","""[\""00:01:06.000\"", \""00:01:10.000\"", \""00:01:13.000\"", \""00:04:30.000\"", \""00:04:43.000\""]""",high,BV1AST4zJEg6
长崎素世,无法识,无法识,phrase_3char,7,"""[\""[无法识别]\""]""","""[\""00:01:06.000\"", \""00:01:10.000\"", \""00:01:13.000\"", \""00:04:30.000\"", \""00:04:43.000\""]""",high,BV1AST4zJEg6
长崎素世,法识别,法识别,phrase_3char,7,"""[\""[无法识别]\""]""","""[\""00:01:06.000\"", \""00:01:10.000\"", \""00:01:13.000\"", \""00:04:30.000\"", \""00:04:43.000\""]""",high,BV1AST4zJEg6
长崎素世,无法识别,无法识别,phrase_4char,7,"""[\""[无法识别]\""]""","""[\""00:01:06.000\"", \""00:01:10.000\"", \""00:01:13.000\"", \""00:04:30.000\"", \""00:04:43.000\""]""",high,BV1AST4zJEg6
长崎素世,无,无,word,7,"""[\""[无法识别]\""]""","""[\""00:01:06.000\"", \""00:01:10.000\"", \""00:01:13.000\"", \""00:04:30.000\"", \""00:04:43.000\""]""",high,BV1AST4zJEg6
长崎素世,法,法,word,7,"""[\""[无法识别]\""]""","""[\""00:01:06.000\"", \""00:01:10.000\"", \""00:01:13.000\"", \""00:04:30.000\"", \""00:04:43.000\""]""",high,BV1AST4zJEg6
长崎素世,看,看,word,7,"""[\""我不是故意的·.·.你看看我啊\"", \""看看我好不好··以后\"", \""看看我好不好·以后你拿什么当安全词都行！\""]""","""[\""00:00:05.000\"", \""00:00:05.000\"", \""00:00:11.000\"", \""00:00:11.000\"", \""00:00:12.000\""]""",high,BV1AST4zJEg6
长崎素世,识,识,word,7,"""[\""[无法识别]\""]""","""[\""00:01:06.000\"", \""00:01:10.000\"", \""00:01:13.000\"", \""00:04:30.000\"", \""00:04:43.000\""]""",high,BV1AST4zJEg6
长崎素世,么,么,word,6,"""[\""看看我好不好·以后你拿什么当安全词都行！\"", \""啊！灯？你怎么\"", \""哈，为什么.我也想\""]""","""[\""00:00:12.000\"", \""00:06:26.000\"", \""00:07:40.000\"", \""00:07:41.000\"", \""00:07:41.000\""]""",high,BV1AST4zJEg6
长崎素世,也,也,word,6,"""[\""爱音，其实AnonTokyo这个名字也挺好\"", \""哈哈，应该是照顾爱音太累了吧，而且说不定被爱音传染了，我感觉我的喉咙好像也有点酸呢。\"", \""哈，为什么.我也想\""]""","""[\""00:01:07.000\"", \""00:03:46.000\"", \""00:07:40.000\"", \""00:07:41.000\"", \""00:08:29.000\""]""",high,BV1AST4zJEg6
