character,expression,normalized_expression,type,count,contexts,timestamps,confidence,source_bv
高松灯,我,我,word,12,"""[\""小爱，出事了………我能感觉到\"", \""小爱，出事了.我能感觉到\"", \""我，我没事，我要去找\""]""","""[\""00:05:01.000\"", \""00:05:03.000\"", \""00:05:11.000\"", \""00:05:11.000\"", \""00:05:11.000\""]""",high,BV1AST4zJEg6
高松灯,小爱,小爱,phrase_2char,9,"""[\""素世·小爱\"", \""小爱，出事\"", \""小爱，出事了………我能感觉到\""]""","""[\""00:04:08.000\"", \""00:05:00.000\"", \""00:05:01.000\"", \""00:05:03.000\"", \""00:08:05.000\""]""",high,BV1AST4zJEg6
高松灯,素世,素世,phrase_2char,9,"""[\""素世，很累·很冷\"", \""素世.天黑了\"", \""素世·小爱\""]""","""[\""00:03:39.000\"", \""00:03:49.000\"", \""00:04:08.000\"", \""00:04:55.000\"", \""00:06:00.000\""]""",high,BV1AST4zJEg6
高松灯,世,世,word,9,"""[\""素世，很累·很冷\"", \""素世.天黑了\"", \""素世·小爱\""]""","""[\""00:03:39.000\"", \""00:03:49.000\"", \""00:04:08.000\"", \""00:04:55.000\"", \""00:06:00.000\""]""",high,BV1AST4zJEg6
高松灯,小,小,word,9,"""[\""素世·小爱\"", \""小爱，出事\"", \""小爱，出事了………我能感觉到\""]""","""[\""00:04:08.000\"", \""00:05:00.000\"", \""00:05:01.000\"", \""00:05:03.000\"", \""00:08:05.000\""]""",high,BV1AST4zJEg6
高松灯,爱,爱,word,9,"""[\""素世·小爱\"", \""小爱，出事\"", \""小爱，出事了………我能感觉到\""]""","""[\""00:04:08.000\"", \""00:05:00.000\"", \""00:05:01.000\"", \""00:05:03.000\"", \""00:08:05.000\""]""",high,BV1AST4zJEg6
高松灯,素,素,word,9,"""[\""素世，很累·很冷\"", \""素世.天黑了\"", \""素世·小爱\""]""","""[\""00:03:39.000\"", \""00:03:49.000\"", \""00:04:08.000\"", \""00:04:55.000\"", \""00:06:00.000\""]""",high,BV1AST4zJEg6
高松灯,为,为,word,5,"""[\""素世为什么要这么做\"", \""素世为什么\"", \""我问你为\""]""","""[\""00:07:39.000\"", \""00:07:49.000\"", \""00:08:03.000\"", \""00:08:05.000\"", \""00:08:05.000\""]""",high,BV1AST4zJEg6
高松灯,么,么,word,5,"""[\""素世为什么要这么做\"", \""素世为什么\"", \""我问你为什么！回答我！回答我！为什么要杀了小爱！你带她走的时候不是说\""]""","""[\""00:07:39.000\"", \""00:07:39.000\"", \""00:07:49.000\"", \""00:08:05.000\"", \""00:08:05.000\""]""",high,BV1AST4zJEg6
高松灯,了,了,word,5,"""[\""素世.天黑了\"", \""小爱，出事了………我能感觉到\"", \""小爱，出事了.我能感觉到\""]""","""[\""00:03:49.000\"", \""00:05:01.000\"", \""00:05:03.000\"", \""00:07:14.000\"", \""00:08:05.000\""]""",high,BV1AST4zJEg6
高松灯,你,你,word,5,"""[\""我问你为\"", \""我问你为什么！回答我！回答我！为什么要杀了小爱！你带她走的时候不是说\"", \""不许你提小爱\""]""","""[\""00:08:03.000\"", \""00:08:05.000\"", \""00:08:05.000\"", \""00:08:35.000\"", \""00:08:43.000\""]""",high,BV1AST4zJEg6
高松灯,为什,为什,phrase_2char,4,"""[\""素世为什么要这么做\"", \""素世为什么\"", \""我问你为什么！回答我！回答我！为什么要杀了小爱！你带她走的时候不是说\""]""","""[\""00:07:39.000\"", \""00:07:49.000\"", \""00:08:05.000\"", \""00:08:05.000\""]""",high,BV1AST4zJEg6
高松灯,什么,什么,phrase_2char,4,"""[\""素世为什么要这么做\"", \""素世为什么\"", \""我问你为什么！回答我！回答我！为什么要杀了小爱！你带她走的时候不是说\""]""","""[\""00:07:39.000\"", \""00:07:49.000\"", \""00:08:05.000\"", \""00:08:05.000\""]""",high,BV1AST4zJEg6
高松灯,为什么,为什么,phrase_3char,4,"""[\""素世为什么要这么做\"", \""素世为什么\"", \""我问你为什么！回答我！回答我！为什么要杀了小爱！你带她走的时候不是说\""]""","""[\""00:07:39.000\"", \""00:07:49.000\"", \""00:08:05.000\"", \""00:08:05.000\""]""",high,BV1AST4zJEg6
高松灯,不,不,word,4,"""[\""我问你为什么！回答我！回答我！为什么要杀了小爱！你带她走的时候不是说\"", \""不许你提小爱\"", \""不行，不能让你，独占\""]""","""[\""00:08:05.000\"", \""00:08:35.000\"", \""00:08:43.000\"", \""00:08:43.000\""]""",high,BV1AST4zJEg6
高松灯,事,事,word,4,"""[\""小爱，出事\"", \""小爱，出事了………我能感觉到\"", \""小爱，出事了.我能感觉到\""]""","""[\""00:05:00.000\"", \""00:05:01.000\"", \""00:05:03.000\"", \""00:05:11.000\""]""",high,BV1AST4zJEg6
高松灯,什,什,word,4,"""[\""素世为什么要这么做\"", \""素世为什么\"", \""我问你为什么！回答我！回答我！为什么要杀了小爱！你带她走的时候不是说\""]""","""[\""00:07:39.000\"", \""00:07:49.000\"", \""00:08:05.000\"", \""00:08:05.000\""]""",high,BV1AST4zJEg6
高松灯,为什么,为什么,fixed_pattern,3,"""[\""素世为什么要这么做\"", \""素世为什么\"", \""我问你为什么！回答我！回答我！为什么要杀了小爱！你带她走的时候不是说\""]""","""[\""00:07:39.000\"", \""00:07:49.000\"", \""00:08:05.000\""]""",high,BV1AST4zJEg6
高松灯,出事,出事,phrase_2char,3,"""[\""小爱，出事\"", \""小爱，出事了………我能感觉到\"", \""小爱，出事了.我能感觉到\""]""","""[\""00:05:00.000\"", \""00:05:01.000\"", \""00:05:03.000\""]""",high,BV1AST4zJEg6
高松灯,无法,无法,phrase_2char,3,"""[\""[无法识别]\""]""","""[\""00:05:16.000\"", \""00:07:13.000\"", \""00:07:36.000\""]""",high,BV1AST4zJEg6
高松灯,法识,法识,phrase_2char,3,"""[\""[无法识别]\""]""","""[\""00:05:16.000\"", \""00:07:13.000\"", \""00:07:36.000\""]""",high,BV1AST4zJEg6
高松灯,立希,立希,phrase_2char,3,"""[\""立希\"", \""X立希\""]""","""[\""00:04:13.000\"", \""00:04:16.000\"", \""00:04:17.000\""]""",high,BV1AST4zJEg6
高松灯,识别,识别,phrase_2char,3,"""[\""[无法识别]\""]""","""[\""00:05:16.000\"", \""00:07:13.000\"", \""00:07:36.000\""]""",high,BV1AST4zJEg6
高松灯,无法识,无法识,phrase_3char,3,"""[\""[无法识别]\""]""","""[\""00:05:16.000\"", \""00:07:13.000\"", \""00:07:36.000\""]""",high,BV1AST4zJEg6
高松灯,法识别,法识别,phrase_3char,3,"""[\""[无法识别]\""]""","""[\""00:05:16.000\"", \""00:07:13.000\"", \""00:07:36.000\""]""",high,BV1AST4zJEg6
高松灯,无法识别,无法识别,phrase_4char,3,"""[\""[无法识别]\""]""","""[\""00:05:16.000\"", \""00:07:13.000\"", \""00:07:36.000\""]""",high,BV1AST4zJEg6
高松灯,！,,sentence_end,3,"""[\""素世！\"", \""小爱还碰过哪里？告诉我！\""]""","""[\""00:04:55.000\"", \""00:06:00.000\"", \""00:08:21.000\""]""",high,BV1AST4zJEg6
高松灯,出,出,word,3,"""[\""小爱，出事\"", \""小爱，出事了………我能感觉到\"", \""小爱，出事了.我能感觉到\""]""","""[\""00:05:00.000\"", \""00:05:01.000\"", \""00:05:03.000\""]""",high,BV1AST4zJEg6
高松灯,别,别,word,3,"""[\""[无法识别]\""]""","""[\""00:05:16.000\"", \""00:07:13.000\"", \""00:07:36.000\""]""",high,BV1AST4zJEg6
高松灯,希,希,word,3,"""[\""立希\"", \""X立希\""]""","""[\""00:04:13.000\"", \""00:04:16.000\"", \""00:04:17.000\""]""",high,BV1AST4zJEg6
高松灯,无,无,word,3,"""[\""[无法识别]\""]""","""[\""00:05:16.000\"", \""00:07:13.000\"", \""00:07:36.000\""]""",high,BV1AST4zJEg6
高松灯,法,法,word,3,"""[\""[无法识别]\""]""","""[\""00:05:16.000\"", \""00:07:13.000\"", \""00:07:36.000\""]""",high,BV1AST4zJEg6
高松灯,的,的,word,3,"""[\""灯转过身，盯着哭泣的素世\"", \""是自己的心\"", \""我问你为什么！回答我！回答我！为什么要杀了小爱！你带她走的时候不是说\""]""","""[\""00:07:01.000\"", \""00:07:32.000\"", \""00:08:05.000\""]""",high,BV1AST4zJEg6
高松灯,立,立,word,3,"""[\""立希\"", \""X立希\""]""","""[\""00:04:13.000\"", \""00:04:16.000\"", \""00:04:17.000\""]""",high,BV1AST4zJEg6
高松灯,能,能,word,3,"""[\""小爱，出事了………我能感觉到\"", \""小爱，出事了.我能感觉到\"", \""不行，不能让你，独占\""]""","""[\""00:05:01.000\"", \""00:05:03.000\"", \""00:08:43.000\""]""",high,BV1AST4zJEg6
高松灯,要,要,word,3,"""[\""我，我没事，我要去找\"", \""素世为什么要这么做\"", \""我问你为什么！回答我！回答我！为什么要杀了小爱！你带她走的时候不是说\""]""","""[\""00:05:11.000\"", \""00:07:39.000\"", \""00:08:05.000\""]""",high,BV1AST4zJEg6
高松灯,识,识,word,3,"""[\""[无法识别]\""]""","""[\""00:05:16.000\"", \""00:07:13.000\"", \""00:07:36.000\""]""",high,BV1AST4zJEg6
高松灯,世为,世为,phrase_2char,2,"""[\""素世为什么要这么做\"", \""素世为什么\""]""","""[\""00:07:39.000\"", \""00:07:49.000\""]""",high,BV1AST4zJEg6
高松灯,么要,么要,phrase_2char,2,"""[\""素世为什么要这么做\"", \""我问你为什么！回答我！回答我！为什么要杀了小爱！你带她走的时候不是说\""]""","""[\""00:07:39.000\"", \""00:08:05.000\""]""",high,BV1AST4zJEg6
高松灯,事了,事了,phrase_2char,2,"""[\""小爱，出事了………我能感觉到\"", \""小爱，出事了.我能感觉到\""]""","""[\""00:05:01.000\"", \""00:05:03.000\""]""",high,BV1AST4zJEg6
高松灯,你为,你为,phrase_2char,2,"""[\""我问你为\"", \""我问你为什么！回答我！回答我！为什么要杀了小爱！你带她走的时候不是说\""]""","""[\""00:08:03.000\"", \""00:08:05.000\""]""",high,BV1AST4zJEg6
高松灯,告诉,告诉,phrase_2char,2,"""[\""素世.·.··告诉我·……发生\"", \""小爱还碰过哪里？告诉我！\""]""","""[\""00:06:56.000\"", \""00:08:21.000\""]""",high,BV1AST4zJEg6
